#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=RASPISHAKE,http://raspberryshake.net/
AM|R60ED|55.91891892|-3.167547635|85.0|Raspberry Shake Citizen Science Station|2020-03-03T16:24:39|2020-03-07T17:00:18
AM|R60ED|55.91891892|-3.167547635|85.0|Raspberry Shake Citizen Science Station|2020-03-09T14:00:04|2020-03-15T17:00:20
AM|R60ED|55.91891892|-3.167547635|85.0|Raspberry Shake Citizen Science Station|2020-03-30T08:32:25|2020-04-04T17:00:21
AM|R60ED|55.91891892|-3.167547635|85.0|Raspberry Shake Citizen Science Station|2020-04-06T14:41:16|2020-04-12T17:00:22
AM|R60ED|55.91891892|-3.167547635|85.0|Raspberry Shake Citizen Science Station|2020-04-13T14:54:05|2020-04-17T17:00:22
AM|R614C|54.0|-1.548328772|74.0|Raspberry Shake Citizen Science Station|2017-12-16T11:25:19|2019-12-15T17:00:18
AM|R6314|50.94594595|-2.187940907|55.0|Raspberry Shake Citizen Science Station|2019-11-09T05:55:31|2020-03-25T17:00:22
AM|R63B4|51.26126126|0.05759162959|123.0|Raspberry Shake Citizen Science Station|2019-02-08T17:41:33|2599-12-31T23:59:59
AM|R63BA|51.42342342|-0.07224589747|66.0|Raspberry Shake Citizen Science Station|2017-12-19T00:08:06|2599-12-31T23:59:59
AM|R6B6E|52.84684685|-4.639697546|108.0|Raspberry Shake Citizen Science Station|2019-08-23T11:18:55|2019-09-02T09:23:18
AM|R6B6E|52.84684685|-4.639761678|108.0|Raspberry Shake Citizen Science Station|2019-09-02T09:23:18|2020-07-12T17:00:41
AM|R6CE5|51.1981982|-3.465012476|15.0|Raspberry Shake Citizen Science Station|2020-01-13T15:01:42|2020-02-21T17:00:21
AM|R6D61|52.18918919|0.1322729901|21.0|Raspberry Shake Citizen Science Station|2018-09-21T12:42:18|2019-07-31T17:00:06
AM|R6D61|52.18918919|0.1322729901|21.0|Raspberry Shake Citizen Science Station|2019-08-13T07:27:09|2020-03-29T17:00:22
AM|R700A|52.65765766|-0.6386465977|114.0|Raspberry Shake Citizen Science Station|2019-07-17T19:10:16|2019-07-23T06:34:06
AM|R700A|52.5045045|-1.953861303|169.0|Raspberry Shake Citizen Science Station|2019-07-23T06:34:06|2019-07-24T11:57:34
AM|R700A|51.41441441|-0.9679700433|49.0|Raspberry Shake Citizen Science Station|2019-07-24T11:57:34|2019-08-24T17:00:09
AM|R700A|51.41441441|-0.9679700433|49.0|Raspberry Shake Citizen Science Station|2019-10-03T10:42:05|2020-02-17T17:34:56
AM|R71E7|54.04504505|-2.777284433|75.0|Raspberry Shake Citizen Science Station|2020-01-21T12:49:47|2599-12-31T23:59:59
AM|R72C7|57.16216216|-2.093483739|22.0|Raspberry Shake Citizen Science Station|2020-02-11T14:50:20|2599-12-31T23:59:59
AM|R74F3|51.84684685|-2.231373278|24.0|Raspberry Shake Citizen Science Station|2020-01-05T00:02:44|2020-01-07T17:00:15
AM|R76F0|53.8018018|-1.540844411|82.0|Raspberry Shake Citizen Science Station|2019-03-29T16:24:19|2599-12-31T23:59:59
AM|R791F|53.8018018|-1.556078028|73.0|Raspberry Shake Citizen Science Station|2019-11-08T09:52:09|2020-03-19T17:00:25
